アカウント,本文,いいね,リポスト,コメント,引用,ブックマーク,インプレッション,フォロワー数,リンク
indie_dev_mika,"個人開発で3年間、収益ゼロだった。

変えたのは1つだけ。

「作りたいもの」を作るのをやめて、
「自分が毎月お金を払っているもの」の
不満を作るようにした。

翌月からMRRが立った。",4820,611,143,88,1902,412000,8400,https://x.com/indie_dev_mika/status/1000000000000000001
saas_kento,"料金ページを直しただけで成約率が2.1倍になった話。

・プラン数を4→3に減らした
・「おすすめ」バッジを真ん中に付けた
・年額を先に見せた
・FAQを価格の真下に置いた

コードは1行も書いてない。",3910,742,96,121,2560,388000,12100,https://x.com/saas_kento/status/1000000000000000002
yuki_writes,"なぜ、いい機能を作っても誰も使わないのか？

答えは単純で、
ユーザーは機能を探していないから。

探しているのは
「今の面倒がなくなる瞬間」だけ。",2680,388,211,44,940,245000,6200,https://x.com/yuki_writes/status/1000000000000000003
ops_tanaka,"今日から使える、会議を30分短くする3つの型。

1. 議題に「決めること」を必ず書く
2. 資料は前日18時に締め切る
3. 最後の5分を議事録に使う

特に3つ目。あとで書くと絶対に書かない。",3140,520,78,63,2210,301000,15800,https://x.com/ops_tanaka/status/1000000000000000004
indie_dev_mika,新機能をリリースしました。詳しくはブログをご覧ください。 https://example.com/blog/release #個人開発 #SaaS,92,6,4,1,18,21000,8400,https://x.com/indie_dev_mika/status/1000000000000000005
saas_kento,"本日、無事に登壇を終えることができました。関係者の皆様、ご来場いただいた皆様、本当にありがとうございました。",210,9,31,2,5,34000,12100,https://x.com/saas_kento/status/1000000000000000006
growth_haru,"解約理由の1位は「高い」ではありません。

実際に聞き取った結果、
1位は「使い方が分からないまま3ヶ月経った」でした。

値下げの前に、
最初の7日間を作り直したほうがいい。",5210,890,132,176,3120,505000,9700,https://x.com/growth_haru/status/1000000000000000007
ops_tanaka,おはようございます。今日も一日頑張りましょう。,340,12,22,0,3,48000,15800,https://x.com/ops_tanaka/status/1000000000000000008
pm_nao,"「要件を固めてから作る」をやめたら、リリース速度が3倍になった。

代わりにやっていること:

・最初に触れる画面だけ作る
・5人に見せる
・2人が詰まった箇所だけ直す

ドキュメントは後から書く。",2950,431,187,92,1580,276000,7100,https://x.com/pm_nao/status/1000000000000000009
growth_haru,アンケートの回答率を上げる方法をまとめました。長文になったのでブログに書いています。興味がある方は読んでみてください。,156,11,8,2,41,29000,9700,https://x.com/growth_haru/status/1000000000000000010
cto_ren,"採用面接で一番効く質問はこれ。

「直近で、自分の判断が間違っていたと気づいた瞬間はいつですか？」

答えられない人より、
具体的に答えられる人のほうが、
入社後に伸びる。",4410,705,265,138,2040,445000,18300,https://x.com/cto_ren/status/1000000000000000011
pm_nao,資料を作り直しています。,88,2,6,0,1,12000,7100,https://x.com/pm_nao/status/1000000000000000012
